run_id,scene,position,code
run14,task2,13,EVAL
run14,task2,14,EVAL
run14,task2,15,EVAL
run14,task2,16,HYPO
run14,task2,17,EVAL
run14,task2,18,EVAL
run14,task2,19,DEC
run15,task2,1,HYPO
run15,task2,2,HYPO
run15,task2,3,EVAL
run15,task2,4,EVAL
run15,task2,5,RUL
run15,task2,6,HYPO
run15,task2,7,EVAL
run15,task2,8,EVAL
run15,task2,9,EVAL
run15,task2,10,EVAL
run15,task2,11,HYPO
run15,task2,12,DEC
run15,task2,13,RUL
run16,task2,1,PROC
run16,task2,2,HYPO
run16,task2,3,HYPO
run16,task2,4,HYPO
run16,task2,5,EVAL
run16,task2,6,DEC
run16,task2,7,HYPO
run16,task2,8,EVAL
run16,task2,9,RUL
run16,task2,10,EVAL
run16,task2,11,EVAL
run16,task2,12,EVAL
run16,task2,13,EVAL
run16,task2,14,HYPO
run16,task2,15,RUL
run16,task2,16,EVAL
run16,task2,17,EVAL
run16,task2,18,EVAL
run16,task2,19,EVAL
run16,task2,20,RUL
run17,task2,1,HYPO
run17,task2,2,EVAL
run17,task2,3,HYPO
run17,task2,4,EVAL
run17,task2,5,EVAL
run17,task2,6,HYPO
run17,task2,7,HYPO
run17,task2,8,HYPO
run17,task2,9,EVAL
run17,task2,10,EVAL
run17,task2,11,EVAL
run17,task2,12,EVAL
run17,task2,13,RUL
run17,task2,14,RUL
run18,task2,1,PROC
run18,task2,2,EVAL
run18,task2,3,PROC
run18,task2,4,HYPO
run18,task2,5,EVAL
run18,task2,6,EVAL
run18,task2,7,RUL
run18,task2,8,EVAL
run18,task2,9,HYPO
run18,task2,10,EVAL
run18,task2,11,PROC
run18,task2,12,HYPO
run18,task2,13,RUL
run19,task2,1,PROC
run19,task2,2,PROC
run19,task2,3,PROC
run19,task2,4,HYPO
run19,task2,5,HYPO
run19,task2,6,DEC
run19,task2,7,EVAL
run19,task2,8,OTH
run19,task2,9,OTH
run19,task2,10,OTH
run19,task2,11,HYPO
run19,task2,12,DEC
run19,task2,13,RUL
run19,task2,14,OTH
run20,task2,1,PROC
run20,task2,2,EVAL
run20,task2,3,EVAL
run20,task2,4,EVAL
run20,task2,5,EVAL
run20,task2,6,EVAL
run20,task2,7,PROC
run20,task2,8,HYPO
run20,task2,9,EVAL
run20,task2,10,EVAL
run20,task2,11,EVAL
run20,task2,12,EVAL
run20,task2,13,RUL
run21,task2,1,PROC
run21,task2,2,PROC
run21,task2,3,EVAL
run21,task2,4,HYPO
run21,task2,5,HYPO
run21,task2,6,EVAL
run21,task2,7,HYPO
run21,task2,8,EVAL
run21,task2,9,EVAL
run21,task2,10,EVAL
run21,task2,11,EVAL
run21,task2,12,EVAL
run21,task2,13,EVAL
run21,task2,14,EVAL
run21,task2,15,EVAL
run21,task2,16,EVAL
run21,task2,17,HYPO
run21,task2,18,EVAL
run21,task2,19,HYPO
run21,task2,20,PROC
run22,task2,1,HYPO
run22,task2,2,EVAL
run22,task2,3,EVAL
run22,task2,4,HYPO
run22,task2,5,HYPO
run22,task2,6,EVAL
run22,task2,7,EVAL
run22,task2,8,EVAL
run22,task2,9,HYPO
run22,task2,10,EVAL
run22,task2,11,EVAL
run22,task2,12,EVAL
run22,task2,13,HYPO
run22,task2,14,DEC
run22,task2,15,DEC
run23,task2,1,PROC
run23,task2,2,HYPO
run23,task2,3,EVAL
run23,task2,4,HYPO
run23,task2,5,EVAL
run23,task2,6,EVAL
run23,task2,7,EVAL
run23,task2,8,EVAL
run23,task2,9,EVAL
run23,task2,10,EVAL
run23,task2,11,EVAL
run23,task2,12,HYPO
run23,task2,13,EVAL
run23,task2,14,EVAL
run23,task2,15,EVAL
run23,task2,16,HYPO
run23,task2,17,RUL
run24,task2,1,HYPO
run24,task2,2,HYPO
run24,task2,3,EVAL
run24,task2,4,HYPO
run24,task2,5,HYPO
run24,task2,6,DEC
run24,task2,7,HYPO
run24,task2,8,EVAL
run24,task2,9,HYPO
run24,task2,10,EVAL
run24,task2,11,EVAL
run24,task2,12,EVAL
run24,task2,13,HYPO
run24,task2,14,EVAL
run24,task2,15,RUL
run25,task2,1,HYPO
run25,task2,2,HYPO
run25,task2,3,HYPO
run25,task2,4,EVAL
run25,task2,5,EVAL
run25,task2,6,EVAL
run25,task2,7,EVAL
run25,task2,8,EVAL
run25,task2,9,EVAL
run25,task2,10,EVAL
run25,task2,11,EVAL
run25,task2,12,RUL
run25,task2,13,EVAL
run26,task2,1,PROC
run26,task2,2,HYPO
run26,task2,3,EVAL
run26,task2,4,EVAL
run26,task2,5,HYPO
run26,task2,6,HYPO
run26,task2,7,EVAL
run26,task2,8,DEC
run26,task2,9,EVAL
run26,task2,10,HYPO
run26,task2,11,EVAL
run26,task2,12,EVAL
run26,task2,13,HYPO
run26,task2,14,HYPO
run26,task2,15,EVAL
run26,task2,16,HYPO
run26,task2,17,EVAL
run26,task2,18,EVAL
run26,task2,19,EVAL
run26,task2,20,DEC
run27,task2,1,HYPO
run27,task2,2,HYPO
run27,task2,3,EVAL
run27,task2,4,EVAL
run27,task2,5,HYPO
run27,task2,6,HYPO
run27,task2,7,HYPO
run27,task2,8,EVAL
run27,task2,9,HYPO
run27,task2,10,EVAL
run27,task2,11,EVAL
run27,task2,12,HYPO
run27,task2,13,META
run27,task2,14,EVAL
run27,task2,15,EVAL
run27,task2,16,EVAL
run27,task2,17,HYPO
run27,task2,18,DEC
run27,task2,19,RUL
run28,task2,1,HYPO
run28,task2,2,EVAL
run28,task2,3,EVAL
run28,task2,4,EVAL
run28,task2,5,EVAL
run28,task2,6,EVAL
run28,task2,7,EVAL
run28,task2,8,RUL
run28,task2,9,HYPO
run28,task2,10,HYPO
run28,task2,11,EVAL
run28,task2,12,EVAL
run28,task2,13,EVAL
run28,task2,14,EVAL
run28,task2,15,EVAL
run28,task2,16,HYPO
run28,task2,17,RUL
run29,task2,1,HYPO
run29,task2,2,HYPO
run29,task2,3,HYPO
run29,task2,4,EVAL
run29,task2,5,EVAL
run29,task2,6,EVAL
run29,task2,7,HYPO
run29,task2,8,DEC
run29,task2,9,EVAL
run29,task2,10,HYPO
run29,task2,11,HYPO
run29,task2,12,EVAL
run29,task2,13,EVAL
run29,task2,14,EVAL
run29,task2,15,EVAL
run29,task2,16,HYPO
run29,task2,17,HYPO
run30,task2,1,PROC
run30,task2,2,PROC
run30,task2,3,EVAL
run30,task2,4,EVAL
run30,task2,5,EVAL
run30,task2,6,EVAL
run30,task2,7,HYPO
run30,task2,8,EVAL
run30,task2,9,DEC
run30,task2,10,DEC
run30,task2,11,OTH
run30,task2,12,HYPO
run30,task2,13,OTH
run30,task2,14,EVAL
run30,task2,15,EVAL
run30,task2,16,RUL
run31,task2,1,HYPO
run31,task2,2,HYPO
run31,task2,3,EVAL
run31,task2,4,EVAL
run31,task2,5,EVAL
run31,task2,6,HYPO
run31,task2,7,EVAL
run31,task2,8,EVAL
run31,task2,9,EVAL
run31,task2,10,EVAL
run31,task2,11,HYPO
run31,task2,12,EVAL
run31,task2,13,EVAL
run31,task2,14,EVAL
run31,task2,15,EVAL
run31,task2,16,EVAL
run31,task2,17,EVAL
run32,task2,1,HYPO
run32,task2,2,EVAL
run32,task2,3,EVAL
run32,task2,4,HYPO
run32,task2,5,DEC
run32,task2,6,EVAL
run32,task2,7,EVAL
run32,task2,8,HYPO
run32,task2,9,EVAL
run32,task2,10,RUL
run32,task2,11,EVAL
run32,task2,12,EVAL
run32,task2,13,EVAL
run32,task2,14,EVAL
run32,task2,15,EVAL
run33,task2,1,PROC
run33,task2,2,HYPO
run33,task2,3,PROC
run33,task2,4,EVAL
run33,task2,5,EVAL
run33,task2,6,HYPO
run33,task2,7,HYPO
run33,task2,8,EVAL
run33,task2,9,EVAL
run33,task2,10,EVAL
run33,task2,11,EVAL
run33,task2,12,HYPO
run33,task2,13,DEC
run33,task2,14,HYPO
run33,task2,15,EVAL
run33,task2,16,DEC
run33,task2,17,HYPO
run33,task2,18,EVAL
run33,task2,19,DEC
run34,task2,1,EVAL
run34,task2,2,HYPO
run34,task2,3,HYPO
run34,task2,4,EVAL
run34,task2,5,HYPO
run34,task2,6,HYPO
run34,task2,7,DEC
run34,task2,8,EVAL
run34,task2,9,EVAL
run34,task2,10,EVAL
run34,task2,11,HYPO
run34,task2,12,EVAL
run34,task2,13,EVAL
run34,task2,14,DEC
run34,task2,15,EVAL
run34,task2,16,EVAL
run34,task2,17,EVAL
run34,task2,18,HYPO
run34,task2,19,EVAL
run34,task2,20,DEC
run35,task2,1,PROC
run35,task2,2,HYPO
run35,task2,3,PROC
run35,task2,4,PROC
run35,task2,5,HYPO
run35,task2,6,HYPO
run35,task2,7,HYPO
run35,task2,8,EVAL
run35,task2,9,EVAL
run35,task2,10,HYPO
run35,task2,11,EVAL
run35,task2,12,DEC
run35,task2,13,EVAL
run35,task2,14,EVAL
run35,task2,15,RUL
run36,task2,1,PROC
run36,task2,2,HYPO
run36,task2,3,PROC
run36,task2,4,EVAL
run36,task2,5,HYPO
run36,task2,6,HYPO
run36,task2,7,HYPO
run36,task2,8,EVAL
run36,task2,9,EVAL
run36,task2,10,EVAL
run36,task2,11,EVAL
run36,task2,12,HYPO
run36,task2,13,EVAL
run36,task2,14,EVAL
run36,task2,15,EVAL
run36,task2,16,RUL
run36,task2,17,META
run36,task2,18,HYPO
run36,task2,19,EVAL
run36,task2,20,EVAL
run37,task2,1,HYPO
run37,task2,2,EVAL
run37,task2,3,EVAL
run37,task2,4,EVAL
run37,task2,5,HYPO
run37,task2,6,HYPO
run37,task2,7,EVAL
run37,task2,8,RUL
run37,task2,9,EVAL
run37,task2,10,EVAL
run37,task2,11,EVAL
run37,task2,12,EVAL
run37,task2,13,EVAL
run37,task2,14,EVAL
run37,task2,15,RUL
run38,task2,1,HYPO
run38,task2,2,EVAL
run38,task2,3,EVAL
run38,task2,4,EVAL
run38,task2,5,HYPO
run38,task2,6,EVAL
run38,task2,7,DEC
run38,task2,8,HYPO
run38,task2,9,DEC
run38,task2,10,EVAL
run38,task2,11,EVAL
run38,task2,12,EVAL
run38,task2,13,HYPO
run38,task2,14,EVAL
run38,task2,15,HYPO
run38,task2,16,HYPO
run38,task2,17,EVAL
run38,task2,18,HYPO
run38,task2,19,HYPO
run39,task2,1,HYPO
run39,task2,2,EVAL
run39,task2,3,EVAL
run39,task2,4,EVAL
run39,task2,5,EVAL
run39,task2,6,HYPO
run39,task2,7,EVAL
run39,task2,8,HYPO
run39,task2,9,EVAL
run39,task2,10,EVAL
run39,task2,11,EVAL
run39,task2,12,EVAL
run39,task2,13,EVAL
run39,task2,14,EVAL
run39,task2,15,HYPO
run39,task2,16,EVAL
run39,task2,17,EVAL
run39,task2,18,EVAL
run40,task2,1,PROC
run40,task2,2,PROC
run40,task2,3,PROC
run40,task2,4,HYPO
run40,task2,5,EVAL
run40,task2,6,EVAL
run40,task2,7,EVAL
run40,task2,8,HYPO
run40,task2,9,EVAL
run40,task2,10,EVAL
run40,task2,11,DEC
run40,task2,12,EVAL
run40,task2,13,EVAL
run40,task2,14,HYPO
run40,task2,15,DEC
run41,task2,1,PROC
run41,task2,2,DEC
run41,task2,3,HYPO
run41,task2,4,EVAL
run41,task2,5,EVAL
run41,task2,6,EVAL
run41,task2,7,EVAL
run41,task2,8,HYPO
run41,task2,9,HYPO
run41,task2,10,RUL
run41,task2,11,DEC
run41,task2,12,EVAL
run41,task2,13,EVAL
run41,task2,14,HYPO
run41,task2,15,EVAL
run41,task2,16,RUL
run41,task2,17,EVAL
run41,task2,18,RUL
run42,task2,1,HYPO
run42,task2,2,HYPO
run42,task2,3,HYPO
run42,task2,4,EVAL
run42,task2,5,HYPO
run42,task2,6,EVAL
run42,task2,7,EVAL
run42,task2,8,EVAL
run42,task2,9,EVAL
run42,task2,10,EVAL
run42,task2,11,EVAL
run42,task2,12,EVAL
run42,task2,13,EVAL
run42,task2,14,EVAL
run42,task2,15,EVAL
run42,task2,16,EVAL
run42,task2,17,DEC
run42,task2,18,EVAL
